date,year,Latitude,Longitude,band repeating,band unique,flag code,CHDSex,Wing,NaresTip,Culmen,TotalHead,TarsusDiagonal,mass,trnsmtr? ,breeding.site,site.sex,stable isotope,DNA,Hg,Photos,Notes,Dark green flags with white codes
43221,2018,,,1372,01180,3NX,F,171,27.6,37.3,67.8,34.9,152,,A,AF,Y,Y,Y,Y,,
43225,2018,,,1372,01256,3TL,F,179,30.3,40,68.9,32.8,136,,A,AF,Y,Y,Y,Y,,
43225,2018,,,1372,01257,3TM,F,176,31.4,41.2,72.7,34.3,144,,A,AF,Y,Y,Y,Y,,
42865,2017,46.951625,-124.043541,1372,01378,2UU,F,180,28.1,38.2,,,151,yes,A,AF,,,,,,
42865,2017,46.951625,-124.043541,1372,01209,2XC,F,176,24.8,35.8,,,139,yes,A,AF,,,,,,
43221,2018,,,1372,01177,3NP,M,165,25.5,35.6,63.2,32.7,135,,A,AM,Y,Y,Y,Y,,
43221,2018,,,1372,01179,3NV,M,170,26.1,36.6,65.5,33.6,153,,A,AM,Y,Y,Y,Y,,
43221,2018,,,1372,01181,3NY,M,172,26,35.8,64.7,34.8,127,,A,AM,Y,Y,Y,Y,,
43221,2018,,,1372,01182,3PA,M,167,27.7,39.2,68,35,124,,A,AM,Y,Y,Y,Y,,
43221,2018,,,1372,01185,3PH,M,167,26.6,37.7,65.4,33.1,137,,A,AM,Y,Y,Y,Y,,
43225,2018,,,1372,01261,3UC,M,174,27.3,36.7,66.4,34.6,141,,A,AM,Y,Y,Y,Y,,
43234,2018,,,1372,01270,3YH,M,168,24.3,34.4,63.2,33.5,133,,A,AM,,,,,,
42865,2017,46.951625,-124.043541,1372,01350,3JH,M,172,28,36.8,,,141,yes,A,AM,,,,,,
43234,2018,,,1372,01273,3YA,F,174,30.8,41.1,71.1,36.2,138,,W,WF,,,,,,
43234,2018,,,1372,01406,3YX,F,173,29.2,39.4,68.4,34.6,134,,W,WF,,,,,,
43234,2018,,,1372,01417,4AP,F,170,27.6,38,67.3,34.8,133,,W,WF,,,,,,
43234,2018,,,1372,01422,4AY,F,179,27.3,36.4,65.8,32.9,130,,W,WF,,,,,,
43234,2018,,,1372,01437,4CY,F,176,27.4,38.2,68.2,33.3,131,,W,WF,,,,,,
43234,2018,,,1372,01438,4EA,F,175,28.4,39.1,66.8,33.9,128,,W,WF,,,,,,
43234,2018,,,1372,01446,4EM,F,165,27.5,36.5,66.7,33.9,127,,W,WF,,,,,,
43234,2018,,,1372,01464,4HT,F,179,29.5,39.3,70.3,33.9,151,,W,WF,,,,,,
43234,2018,,,1372,01473,4JJ,F,176,32,41.9,72.9,35.6,122,,W,WF,,,,,,
43234,2018,,,1372,01607,4LN,F,,,,,,135,,W,WF,,,,,,
43234,2018,,,1372,01608,4LP,F,,,,,,148,,W,WF,,,,,,
42865,2017,46.951625,-124.043541,1372,01348,3JC,F,183,26.7,34.9,,,147,Yes,W,WF,,,,,,
42865,2017,46.951625,-124.043541,1372,01201,2YT,F,178,29.9,39.6,,,143,yes,W,WF,,,,,,
42865,2017,46.951625,-124.043541,1372,01232,3LX,F,176,27.9,38.4,,,127,yes,W,WF,,,,,,
42865,2017,46.951625,-124.043541,1372,01246,3MX,F,171,27.2,38.8,,,149,yes,W,WF,,,,,,
43234,2018,,,1372,01297,3VA,M,178,26,37,65.3,35.4,136,,W,WM,,,,,,
43234,2018,,,1372,01456,4HE,M,171,23.8,34.5,63.5,34.5,125,,W,WM,,,,,,
42865,2017,46.951625,-124.043541,1372,01319,3CP,M,168,26.7,37,,,127,Yes,W,WM,,,,,,
42865,2017,46.951625,-124.043541,1372,01342,3HP,M,182,28.1,36.1,,,127,Yes,W,WM,,,,,,
42865,2017,46.951625,-124.043541,1372,01359,3KA,M,172,28.3,37.6,,,135,yes,W,WM,,,,,,
42865,2017,46.951625,-124.043541,1372,01389,2VM,M,174,25.6,35.6,,,137,yes,W,WM,,,,,,
42865,2017,46.951625,-124.043541,1372,01214,2XV,M,168,26.1,36,,,127,yes,W,WM,,,,,,
42865,2017,46.951625,-124.043541,1372,01395,2VX,,180,26.9,38.1,,,135,yes,W,,,,,,,
43224,2018,,,1372,01187,3PK,F,172,27.2,36.2,65.9,35,173,,,,Y,Y,Y,Y,,
43224,2018,,,1372,01192,3PY,F,169,26.8,36.7,66.1,33.1,113,,,,Y,Y,Y,Y,,
43225,2018,,,1372,01194,3TE,F,173,28.8,37.9,67.4,35.6,120,,,,Y,Y,Y,Y,,
43225,2018,,,1372,01254,3TJ,F,179,29.3,38.4,68.9,34.5,126,,,,Y,Y,Y,Y,,
43225,2018,,,1372,01212,3TX,F,171,27.2,37.5,66.6,32.7,108,,,,Y,Y,Y,Y,Recap; banded in Mexico (yellow flag - 398); we attached metal band,
43225,2018,,,1372,01262,3UE,F,178,27.9,36.4,66,33.3,152,,,,Y,Y,Y,Y,,
43225,2018,,,1372,01265,3UK,F,179,29.2,37.7,67.8,34.1,131,,,,Y,Y,Y,Y,,
43225,2018,,,1372,01267,3UM,F,179,27.8,36.4,66.5,34.9,135,,,,Y,Y,Y,Y,,
43234,2018,,,1372,01296,3VC,F,170,25.5,34.1,63.6,32.4,123,,,,,,,,,
43234,2018,,,1372,01294,3VE,F,167,28.6,37.3,67.5,35.2,126,,,,,,,,,
43234,2018,,,1372,01293,3VJ,F,172,28.3,37.8,66,32.5,110,,,,,,,,,
43234,2018,,,1372,01288,3VX,F,170,28.6,37.2,68,33.9,121,,,,,,,,,
43234,2018,,,1372,01287,3VY,F,168,27.6,38.6,67.3,37.1,112,,,,,,,,,
43234,2018,,,1372,01285,3XC,F,172,28,38.1,66.9,34.4,110,,,,,,,,,
43234,2018,,,1372,01284,3XE,F,174,28.6,40,68.9,32.5,102,,,,,,,,,
43234,2018,,,1372,01276,3XV,F,171,26.6,37,65.2,33.3,101,,,,,,,,,
43234,2018,,,1372,01275,3XX,F,174,27.7,36.1,67,35.3,159,,,,,,,,,
43234,2018,,,1372,01401,3YL,F,169,31.4,40.6,70.2,34.6,108,,,,,,,,,
43234,2018,,,1372,01403,3YP,F,171,26,35.3,65.3,31.5,121,,,,,,,,,
43234,2018,,,1372,01407,3YY,F,174,282,38.8,69.3,34,120,,,,,,,,,
43234,2018,,,1372,01408,4AA,F,181,29.6,39,69.3,34.4,149,,,,,,,,,
43234,2018,,,1372,01431,4CN,F,168,26.9,36.6,65.7,33.3,112,,,,,,,,,
43234,2018,,,1372,01441,4EE,F,175,27.8,37,67.5,34,124,,,,,,,,band 01440 was lost,
43234,2018,,,1372,01445,4EL,F,176,27.2,35.4,65.2,34.3,119,,,,,,,,,
43234,2018,,,1372,01447,4EN,F,167,26.7,34.8,65.5,32.8,88,,,,,,,,,
43234,2018,,,1372,01450,4EU,F,177,28.6,37.6,67.2,36.1,131,,,,,,,,,
43234,2018,,,1372,01453,4EY,F,171,27,37.2,66.7,33.2,123,,,,,,,,,
43234,2018,,,1372,01465,4HU,F,177,28,36.2,66.8,31.6,121,,,,,,,,,
