"","Year","Region","Location","Area","Site","Latitude","Longitude","CaptureDate","CaptureTime","Species","Bander","Scribe","BandSize","MetalIn","FlagColorIn","FlagCodeIn","UpperLeftIn","LowerLeftIn","UpperRightIn","LowerRightIn","MetalOut","FlagColorOut","FlagCodeOut","UpperLeftOut","LowerLeftOut","UpperRightOut","LowerRightOut","TrackerType1","TrackerStatus1","TrackerID1","TrackerType2","TrackerStatus2","TrackerID2","Disposition","Status","Condition","AgeID","HowAged","FieldSex","CHDSex","HowSex","Culmen","CulmenDepth","CulmenWidth","NaresTip","TotalHead","TarsusDiagonal","Wing","p10","p10Exposed","Fat","Weight","CaptureMethod","NestBroodID","ChickAgeType","ChickHatchDate","ChickAge","FeatherCollected","FeatherType","Blood","BloodQuantity","BloodUse","OtherTests","comments.Tot.Tarsus.Covert.p10_length.Covert.p10_exposed.Weight.Cone_wt.RECAPBTWYR.RECAPWINYR.PHOTOS.MATE.MATE_ATTEND.BROOD_SIZE.REL_STATUS.ffm_p1.ffm_p2.ffm_p3.ffm_p4.ffm_p5.ffm_p6.ffm_p7.ffm_p8.ffm_p9.ffm_p10.ffm_s1.ffm_s2.ffm_s3.ffm_s4.ffm_s5.ffm_s6.ffm_s7.ffm_s8.ffm_s9.ffm_s10.tfm_1.tfm_2.tfm_3.tfm_4.tfm_5.tfm_6.bm_head.bm_neck.bm_back.bm_brst.bm_abd.blood_dna.blood_rna"
"87",2012,5,"NOME","TELLER RD","34 MI",64.82298,-166.04288,"5/31/2012","","REKN","LHD","",2,"123233947","FELG","6LX","FELG",,"GEO","M","123233947","FELG","6LX","FELG","","DB","M","GEO","Removed","","","","","R","319","7","ASY","PL","M","M","BO",36,6.9,5.9,28.2,67.4,34.7,175,,,2,,"Mist","LEP001","","",,"N","","Y","","DNA","","GEO REMOVED||||||Y|N||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"88",2012,5,"NOME","TELLER RD","37 MI",64.85189,-166.09251,"6/1/2012","","REKN","LHD","",2,"123233935","FELG","6KK","FELG",,"GEO","M","123233935","FELG","6KK","FELG","","DB","M","GEO","Removed","","","","","R","319","7","ASY","PL","U","F","IC",35.5,7,5,26.8,65.5,34,181,,,2,128,"BowNet","NHLE001","","",,"Y","contour","Y","","DNA","","GEO REMOVED||||||Y|N||6JY||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"89",2012,5,"NOME","TELLER RD","34 MI",64.82574,-166.04054,"6/4/2012","","REKN","LHD","",2,"123233954","FELG","6KU","FELG",,"GEO","M","123233954","FELG","6KU","FELG","","DB","M","GEO","Removed","","","","","R","319","7","ASY","PL","M","M","BO",34.8,6.7,5.2,25.4,64.7,35,172,,,2,127,"BowNet","NRH001","","",,"N","","Y","","DNA","","GEO REMOVED||||||Y|N||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"90",2012,5,"NOME","TELLER RD","34 MI",64.81454,-165.96335,"6/6/2012","","REKN","LHD","",2,"123233946","FELG","6KP","FELG",,"GEO","M","123233946","FELG","6KP","FELG","","DB","M","GEO","Removed","","","","","R","319","7","ASY","PL","M","M","BO",35.2,7.2,5.1,25.4,65,34.3,172,,,2,124,"Mist","LDLE001","","",,"N","","Y","","DNA","","GEO REMOVED||||||Y|N||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"91",2012,5,"NOME","TELLER RD","34 MI",64.82298,-166.04288,"6/13/2012","","REKN","LHD","",2,"","","","",,"","","123233969","FELG","6CU","FELG","","R","M","","","","","","","1","319","7","AHY","PL","U","F","IC",34.2,6.6,5,25.8,64.2,32,172,,,1,117,"Mist","LEP001","","",,"N","","Y","","DNA","","||||||N|N||6LX||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"92",2012,5,"NOME","TELLER RD","Tombstone",64.94115,-166.20819,"6/13/2012","","REKN","NRH","",2,"","","","",,"","","123233971","FELG","6CV","FELG","","R","M","","","","","","","1","319","7","AHY","PL","U","F","IC",34.4,6.8,5.9,26.1,64.5,34.2,165,,,1,118,"Mist","NRH002","","",,"N","","Y","","DNA","","||||||N|N||6CX||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"93",2012,5,"NOME","TELLER RD","Tombstone",64.94115,-166.20819,"6/17/2012","","REKN","LEP","",2,"","","","",,"","","123233972","FELG","6CX","FELG","","R","M","","","","","","","1","319","7","AHY","PL","U","M","IC",33.8,6.7,5.5,25.6,63.4,35,168,,,2,122,"Mist","NRH002","","",,"N","","Y","","DNA","","||||135|13|N|N||6CV||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"94",2012,5,"NOME","TELLER RD","37 MI",64.85037,-166.08188,"6/23/2012","","REKN","DRR","",2,"123233942","FELG","6KN","FELG",,"GEO","M","123233942","FELG","6KN","FELG","","DB","M","GEO","Removed","","","","","R","319","7","ASY","PL","M","M","BO",34.5,,,25.8,64.7,32.3,170,,,0,118.4,"Mist","","","",,"N","","Y","","DNA","","GEO REMOVED||||||Y|N||||4||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"95",2012,5,"NOME","TELLER RD","34 MI",64.82462,-166.04207,"6/23/2012","","REKN","NRH","",2,"","","","",,"","","123233973","FELG","6CY","FELG","","R","M","","","","","","","1","319","7","AHY","PL","M","M","BO",33.4,7.1,5.2,25.3,64.8,32.2,162,,,3,,"Mist","","","",,"N","","Y","","DNA","","||||116||N|N||||4||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"96",2012,5,"NOME","TELLER RD","34 MI",64.82462,-166.04207,"6/23/2012","","REKN","LHD","",2,"","","","",,"","","123233974","","","","","R","M","","","","","","","1","301","7","L","NF","U","","IC",13.5,4.65,3.55,10.3,35.45,26.5,,3,0,,19,"Hand","6CY","Estimated_by_p10","6/20/2012",2.566320158,"N","","N","","","",""
"97",2012,5,"NOME","TELLER RD","34 MI",64.82462,-166.04207,"6/23/2012","","REKN","LHD","",2,"","","","",,"","","123233975","","","","","R","M","","","","","","","1","301","7","L","NF","U","","IC",13.3,4.5,3.8,10.5,37.1,27.4,,4.3,0,,27.9,"Hand","6CY","Estimated_by_p10","6/19/2012",3.589835327,"N","","N","","","",""
"98",2012,5,"NOME","TELLER RD","34 MI",64.82462,-166.04207,"6/23/2012","","REKN","LHD","",2,"","","","",,"","","123233976","","","","","R","M","","","","","","","1","301","7","L","NF","U","","IC",13.2,4.6,3.7,10.3,36.7,26.5,,5,0,,20.4,"Hand","6CY","Estimated_by_p10","6/18/2012",4.051445691,"N","","N","","","",""
"99",2012,5,"NOME","TELLER RD","34 MI",64.82462,-166.04207,"6/23/2012","","REKN","LHD","",2,"","","","",,"","","123233977","","","","","R","M","","","","","","","1","301","7","L","NF","U","","IC",13.7,4.6,3.7,11.2,37.8,26.4,,5.8,0,,19.7,"Hand","6CY","Estimated_by_p10","6/18/2012",4.527236426,"N","","N","","","",""
"100",2012,5,"NOME","TELLER RD","34 MI",64.81278,-165.95103,"6/24/2012","","REKN","JAJ","",2,"123233955","FELG","6KV","FELG",,"GEO","M","123233955","FELG","6KV","FELG","","DB","M","GEO","Removed","","","","","R","319","7","ASY","PL","M","M","BO",34.9,,,25.4,61.8,34.5,170,,,0,128,"Mist","","","",,"N","","Y","","DNA","","GEO REMOVED||||||Y|N||||3||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"101",2012,5,"NOME","TELLER RD","34 MI",64.81879,-165.99619,"6/26/2012","","REKN","NRH","",2,"123233960","FELG","6LC","FELG",,"DB","M","123233960","FELG","6LC","FELG","","DB","M","","","","","","","R","319","7","AHY","PL","M","M","BO",35.6,7,5.6,26.2,65.5,34.1,,,,3,140,"Mist","","","",,"N","","Y","","DNA","","||||||Y|N||||4||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"102",2012,5,"NOME","TELLER RD","34 MI",64.81601,-166.00028,"6/26/2012","","REKN","NRH","",2,"","","","",,"","","123233978","FELG","6EA","FELG","","R","M","","","","","","","1","319","7","AHY","PL","M","M","BO",34.4,6.9,5.4,25.6,64.5,33.3,164,,,2,,"Mist","","","",,"N","","Y","","DNA","","No scale, so no weight. Bird recaptured on 29 June and blood taken then.||||||N|N||||3||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Y|"
"103",2012,5,"NOME","TELLER RD","34 MI",64.81601,-166.00028,"6/26/2012","","REKN","LHD","",2,"","","","",,"","","123233980","FELG","6XX","FELG","","R","M","","","","","","","1","319","7","L","NF","U","F","IC",15.6,4.8,3.5,11.3,38.5,27.3,,7.7,0.5,,,"Hand","6EA","Estimated_by_p10","6/20/2012",5.502869728,"N","","Y","","DNA","","No scale, so no weight"
"104",2012,5,"NOME","TELLER RD","34 MI",64.81601,-166.00028,"6/26/2012","","REKN","LHD","",2,"","","","",,"","","123233979","","","","","R","M","","","","","","","1","319","7","L","NF","U","M","IC",15,4.5,4,11,38,27.5,,5.8,0,,,"Hand","6EA","Estimated_by_p10","6/21/2012",4.527236426,"N","","Y","","DNA","","No scale, so no weight"
"105",2012,5,"NOME","TELLER RD","34 MI",64.81601,-166.00028,"6/26/2012","","REKN","FDS","",2,"","","","",,"","","123233981","","","","","R","M","","","","","","","1","319","7","L","NF","U","M","IC",14,4.5,3.5,10.9,38.5,27.5,,7.5,0.5,,,"Hand","6EA","Estimated_by_p10","6/20/2012",5.408189639,"N","","Y","","DNA","","No scale, so no weight"
