Year,BroodID,Visit,Date,Time,PlotID,Latitude,Longitude,Stage,HatchDate,AgeType,ChickAge,NumberChicks,Observer,ChickAgeEst,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,Comments
2017,1EV,1,7/7/2017,11:20,37 MI,64.85048,-166.08102,brood,,,,1,LAM,14 d.o,1EV,FEDG,,,Chick fostered by 6XN measure
2017,1EV,2,7/11/2017,18:30,37 MI,64.84594,-166.08102,brood,,,,1,LAM,18 d.o,1EV,FEDG,,, measure
2017,1HJ,1,7/12/2017,12:00,34 MI,64.81383,-165.95528,brood,,,,1,LAM,14 d.o,1HJ,FEDG,,, measure
2017,1KY,1,7/11/2017,16:52,Tombstone,64.94277,-166.1994,brood,,,,2,LAM,25 d.o,1KY,FEDG,,, 
2017,1LA,1,7/12/2017,13:45,34 MI,64.81577,-165.93137,brood,,,,2,LAM,16-17 d.o,1LA,FEDG,,, measure
2017,1LC,1,7/9/2017,11:42,Feather Steven,64.84706,-166.01289,brood,,,,1,ZMP,?,1LC,FEDG,,, measure
2017,1LE,1,7/9/2017,13:53,Feather Steven,64.84901,-166.00835,brood,,,,2,JAJ,17-18 d.o,1LE,FEDG,,, measure
2017,1LE,2,7/13/2017,20:00,Feather Steven,64.84374,-166.00343,brood,,,,2,LAM,21-22 d.o,1LE,FEDG,,, measure
2017,1LH,1,7/10/2017,13:00,Barrel,64.70962,-165.77161,brood,,,,3,LAM,?,1LH,FEDG,,,Chicks well flighted. 
2017,6HV,1,7/8/2017,12:30,34 MI,64.81185,-165.9471,brood,,,,2,LAM,11-13 d.o,6HV,FELG,,, measure
2017,6HV,2,7/12/2017,11:10,34 MI,64.81564,-165.99504,brood,,,,2,LAM,15-17 d.o,6HV,FELG,,, measure
2017,6KT,1,7/7/2017,14:32,Tombstone,64.93227,-166.20676,brood,,,,1,JVG,?,6KT,FELG,,, measure
2017,6UU,1,7/12/2017,19:50,34 MI,64.81831,-166.03592,brood,,,,2,JAJ,17-19 d.o,6UU,FELG,,, measure
2017,6UX,1,7/10/2017,12:30,Barrel,64.70962,-165.77161,brood,,,,3,JAJ,?,6UX,FELG,,, measure
2017,6UY,1,7/8/2017,9:40,34 MI,64.81549,-166.01477,brood,,,,3,JVG,11-12 d.o,6UY,FELG,,, measure
2017,6UY,2,7/10/2017,15:30,34 MI,64.81647,-166.0192,brood,,,,3,LAM,13-14 d.o,6UY,FELG,,, measure
2017,6UY,3,7/13/2017,10:00,34 MI,64.81647,-166.0192,brood,,,,2,LAM,16-17 d.o,6UY,FELG,,, measure
2017,6XN,1,7/11/2017,19:30,37 MI,64.84594,-166.08102,brood,,,,2,ZMP,18 d.o,6XN,FELG,,, measure
2017,6XN,2,7/14/2017,16:30,37 MI,64.84449,-166.08197,brood,,,,2,LAM,21 d.o,6XN,FELG,,,
