"","Year","Date","Region","PlotID","Latitude","Longitude","EncounterType","FlagCode","FlagColor","CurrentFlagCode","CurrentFlagColor","Age","Sex","TrackerType1","TrackerType2","TrackerStatus1","TrackerStatus2","Observer","Comments"
"1",2014,"6/4/2014","Alaska","34 MI",64.8205,-166.03525,"C","6UU","FELG","6UU","FELG","AHY",,"","","","","NRH","(4 JUNE) Jug bleed only little blood, enough only for BBP sample, no AIV or DNA, O and C swabs yes. Captured at nest. Originally sexed as a female based on plum and later caputre with 2 chicks on 21 June, resampled and weighed 118.additional observers - , , , , "
"17",2014,"5/30/2014","Alaska","34 MI",64.81692,-165.99727,"R","6HC","FELG","6HC","FELG","AHY",,"GEO","","Retained","","LHD","Acting very single.additional observers - , , , , "
"132",2014,"7/6/2014","Alaska","34 MI",64.82462,-166.04282,"C","6TU","FELG","6TU","FELG","L",,"","","","","LHD","Adult responsive to chick call. Caught 2/3 of flighted chicks.additional observers - , , , , "
"133",2014,"7/6/2014","Alaska","34 MI",64.82462,-166.04282,"C","6TV","FELG","6TV","FELG","L",,"","","","","JAJ","Adult responsive to chick call. Caught 2/3 of flighted chicks.additional observers - , , , , "
"136",2014,"7/3/2014","Alaska","34 MI",64.81335,-165.96806,"R","6KP","FELG","6KP","FELG","AHY",,"","","","","JAJ","After watching it for ~10 min, no brood detected.additional observers -  NRH, , , , "
"137",2014,"7/3/2014","Alaska","37 MI",64.85098,-166.08269,"C","6UC","FELG","6UC","FELG","L",,"","","","","LHD","Age at last capture = 5 doadditional observers - , , , , "
"138",2014,"7/3/2014","Alaska","37 MI",64.85098,-166.08269,"C","6UE","FELG","6UE","FELG","L",,"","","","","LHD","Age at last capture = 5 doadditional observers - , , , , "
"139",2014,"7/3/2014","Alaska","37 MI",64.85098,-166.08269,"C","6UH","FELG","6UH","FELG","L",,"","","","","JBB","Age at last capture = 5 doadditional observers - , , , , "
"140",2014,"7/3/2014","Alaska","37 MI",64.85098,-166.08269,"C","6UJ","FELG","6UJ","FELG","L",,"","","","","JBB","Age at last capture = 5 doadditional observers - , , , , "
"141",2014,"7/3/2014","Alaska","37 MI",64.85098,-166.08269,"C","6UL","FELG","6UL","FELG","L",,"","","","","LHD","Age at last capture = 5 doadditional observers - , , , , "
"147",2014,"5/25/2014","Alaska","34 MI",64.8223,-166.0413,"R","6UM","FELG","6UM","FELG","AHY",,"GEO","","Retained","","LHD","Apparently paired.additional observers - , , , , "
"148",2014,"6/3/2014","Alaska","34 MI",64.81596,-165.9559,"R","6HH","FELG","6HH","FELG","AHY",,"GEO","","Retained","","LHD","Apparently single, still working on scrapesadditional observers -  NRH, , , , "
