Year,NestID,Date,Time,PlotID,Latitude,Longitude,Observer,Visit,Stage,NestSeen,Eggs,Chicks,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,InitiationDate,NestCondition,Fox,EggFrags,EggBits,Membranes,MembranesShell,AdultBroody,BroodSeen,HowFailed,Comments|Egg1_Length|Egg1_Width|Egg1_Angle|Egg1_Surfaced|Egg1_mmAbove|Egg1_Mass(g)|Egg2_Length|Egg2_Width|Egg2_Angle|Egg2_Surfaced|Egg2_mmAbove|Egg2_Mass(g)|Egg3_Length|Egg3_Width|Egg3_Angle|Egg3_Surfaced|Egg3_mmAbove|Egg3_Mass(g)|Egg4_Length|Egg4_Width|Egg4_Angle|Egg4_Surfaced|Egg4_mmAbove|Egg4_Mass(g)|Est_Age(days)|Incubation_Date||%Lich_1|%Moss_1|%DST_1|%Forb_1|%Other_1|%Sedge_1|%Kinick_1|%Vacc_1|%Empet_1|%Heath_1|%BareRock_1|%LichRock_1|%BareSoil_1|%Lich_10|%Moss_10|%DST_10|%Forb_10|%Other_10|%Sedge_10|%Kinick_10|%Vacc_10|%Empet_10|%Heath_10|%BareRock_10|%LichRock_10|%BareSoil_10|Width|Depth|Conceal|Slope|Asp|Elev|Hatch_Date(est)|notes
2010,AJ001,6/26/2010,15:14,Barrel Hill,64.70957,-165.76433,AJ,Initial Discovery,incubation,,,,,,,,,,,,,,,,,,|||80|Y|5||||80|Y|5||||80|Y|5||||||||||Estimated hatch 30 June 2010|5||35|5||7|||||35||13|7||35|5||7|||||37||9|||0|||365||
2010,AJ001,7/2/2010,15:30,Barrel Hill,64.70957,-165.76433,JAJ,Fate Determined,hatch,Y,,2,,,,,,intact,no,,,none,none,,Y,,Egg frag found 5 cm from nest.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2010,JAJ001,6/14/2010,,34 MI,64.81758,-166.00871,JAJ,Initial Discovery,incubation,Y,4,0,6JC,FELG,,,40330,,,,,,,,,,|||70|Y|5||||90|Y|4||||90|Y|4||||90|Y|4||17.6|40334||||||||||||||||||||||||||||||0||||40352|
2010,JAJ001,6/19/2010,15:20,34 MI,64.81758,-166.00871,JAJ,2,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2010,JAJ001,6/22/2010,15:30,34 MI,64.81758,-166.00871,JAJ,3,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2010,JAJ001,6/24/2010,15:30,34 MI,64.81758,-166.00871,JAJ,4,incubation,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2010,JAJ001,6/25/2010,20:00,34 MI,64.81758,-166.00871,JAJ,5,incubation,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2010,JAJ001,6/26/2010,21:00,34 MI,64.81758,-166.00871,JAJ,6,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2010,JAJ001,7/1/2010,9:00,34 MI,64.81758,-166.00871,JAJ,7,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2010,JAJ001,7/2/2010,20:00,34 MI,64.81758,-166.00871,JAJ,8,incubation,Y,3,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
