"","Year","Region","Location","Area","Site","Latitude","Longitude","CaptureDate","CaptureTime","Species","Bander","Scribe","BandSize","MetalIn","FlagColorIn","FlagCodeIn","UpperLeftIn","LowerLeftIn","UpperRightIn","LowerRightIn","MetalOut","FlagColorOut","FlagCodeOut","UpperLeftOut","LowerLeftOut","UpperRightOut","LowerRightOut","TrackerType1","TrackerStatus1","TrackerID1","TrackerType2","TrackerStatus2","TrackerID2","Disposition","Status","Condition","AgeID","HowAged","FieldSex","CHDSex","HowSex","Culmen","CulmenDepth","CulmenWidth","NaresTip","TotalHead","TarsusDiagonal","Wing","p10","p10Exposed","Fat","Weight","CaptureMethod","NestBroodID","ChickAgeType","ChickHatchDate","ChickAge","FeatherCollected","FeatherType","Blood","BloodQuantity","BloodUse","OtherTests","comments.Tot.Tarsus.Covert.p10_length.Covert.p10_exposed.Weight.Cone_wt.RECAPBTWYR.RECAPWINYR.PHOTOS.MATE.MATE_ATTEND.BROOD_SIZE.REL_STATUS.ffm_p1.ffm_p2.ffm_p3.ffm_p4.ffm_p5.ffm_p6.ffm_p7.ffm_p8.ffm_p9.ffm_p10.ffm_s1.ffm_s2.ffm_s3.ffm_s4.ffm_s5.ffm_s6.ffm_s7.ffm_s8.ffm_s9.ffm_s10.tfm_1.tfm_2.tfm_3.tfm_4.tfm_5.tfm_6.bm_head.bm_neck.bm_back.bm_brst.bm_abd.blood_dna.blood_rna"
"631",2019,5,"NOME","TELLER RD","34 MI",64.82277,-166.0433,"6/26/2019","13:15","REKN","ZMP","WAB",2,"129231723","FEDG","1HE","FEDG",,"O,GEO","M","129231723","FEDG","1HE","FEDG","Nothing","O","M","RADIO","New","T644","","","","R","325","7","ATY","RC","M","M","BO",,,,,,,173,,,1,119.4,"Mist","1HE","","",,"N","","N","","","","Radio 165.6119"
"632",2019,5,"NOME","TELLER RD","34 MI",64.82268,-166.04331,"6/26/2019","13:15","REKN","ZMP","",2,"","","","",,"","","129232101","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",18.7,5.8,4.6,14,44.2,29.9,,22.6,3.1,,48.1,"Hand","1HE","Estimated_by_p10","6/15/2019",10.41623889,"N","","N","","","Fecal","AK19-001"
"633",2019,5,"NOME","TELLER RD","34 MI",64.82268,-166.04331,"6/26/2019","13:30","REKN","ZMP","",2,"","","","",,"","","129232102","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",21.4,5.6,4,15,46,29.2,,22.4,4.4,,46.7,"Hand","1HE","Estimated_by_p10","6/15/2019",10.36416108,"N","","N","","","Fecal","AK19-002"
"634",2019,5,"NOME","TELLER RD","34 MI",64.82268,-166.04331,"6/26/2019","13:30","REKN","ZMP","",2,"","","","",,"","","129232103","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",21.2,5.9,4.4,14.9,45.1,29.8,,23.7,3.9,,46,"Hand","1HE","Estimated_by_p10","6/15/2019",10.69931605,"N","","N","","","Fecal","AK19-003"
"635",2019,5,"NOME","TELLER RD","37 MI",64.8403,-166.0845,"6/27/2019","10:33","REKN","ZMP","WAB",2,"122274375","FELG","6TM","FELG",,"W","M","122274375","FELG","6TM","FEDG","Nothing","W","M","RADIO","New","T639","","","","R","325","7","ATY","RC","M","M","BO",,,,,,,173,,,,115.2,"Mist","6TM","","",,"N","","N","","","","Freq 165.155"
"636",2019,5,"NOME","TELLER RD","37 MI",64.851,-166.09,"6/27/2019","15:08","REKN","ZMP","JGW",2,"122274451","FEDG","1KU","FEDG",,"Y,GEO","M","122274451","FEDG","1KU","FEDG","Nothing","Y","M","GEO","Removed","0","RADIO","New","T649","R","325","7","ATY","RC","M","M","BO",,,,,,,167,,,,112.4,"Mist","1KU","","",,"N","","N","","","","None"
"637",2019,5,"NOME","TELLER RD","Tombstone",64.935,-166.209,"6/27/2019","18:03","REKN","CFG","JGW",2,"","","","",,"","","129232109","FEDG","1KX","FEDG","Nothing","Y","M","RADIO","New","T646","","","","1","325","7","ASY","PL","M","","BO",35.3,6.1,3.9,26,63.2,31.6,167.5,,,1,118,"Mist","1KX","","",,"N","","Y","filter","DNA","","Freq. 165.710"
"638",2019,5,"NOME","TELLER RD","37 MI",64.84038,-166.08456,"6/27/2019","10:30","REKN","WAB","",2,"","","","",,"","","129232104","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",21.1,6,4.3,15.7,46.6,30.2,,25.9,7.6,,54.5,"Hand","6TM","Estimated_by_p10","6/15/2019",11.25024635,"N","","N","","","Fecal","AK19-004"
"639",2019,5,"NOME","TELLER RD","37 MI",64.85103,-166.09075,"6/27/2019","14:25","REKN","WAB","",2,"","","","",,"","","129232105","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",17.6,4.9,3.8,12.3,40.1,28.1,,8.8,0.5,,24.8,"Hand","1KU","Estimated_by_p10","6/21/2019",5.997923802,"N","","N","","","","Ak19-005"
"640",2019,5,"NOME","TELLER RD","37 MI",64.85103,-166.090675,"6/27/2019","14:25","REKN","WAB","",2,"","","","",,"","","129232106","","","","","","M","","","","","","","1","300","7","L","NF","U","","IC",17,4.4,3.7,11.7,39.1,28.1,,6.8,0.3,,21.2,"Hand","1KU","Estimated_by_p10","6/21/2019",5.063793732,"N","","N","","","","Ak19-006. Tuft 6.1mm"
